Tipo de inmueble,Precio (admin_included),Estrato,Baños,Habitaciones,Parqueaderos,Area,Area Privada,Piso,Antiguedad,Precio_por_m2,Bedroom_Bath_Ratio,Size_Category_Small,Size_Category_Medium,Size_Category_Large,Size_Category_Huge,Cluster,Market_Segment
Apartamento,1650000.0,3.0,1.0,1.0,0.0,25.0,25.0,0.0,1 a 8 años,66000.0,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,2200000.0,4.0,2.0,4.0,0.0,120.0,120.0,2.0,más de 30 años,18333.333333333332,2.0,False,True,False,False,1,Budget Compact Properties
Apartamento,1350000.0,4.0,1.0,1.0,0.0,34.0,22.0,2.0,1 a 8 años,39705.882352941175,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,590000.0,4.0,2.0,3.0,0.0,100.0,14.5,2.0,más de 30 años,5900.0,1.5,False,True,False,False,1,Budget Compact Properties
Casa,7000000.0,4.0,4.0,1.0,0.0,196.0,22.0,2.0,más de 30 años,35714.28571428572,0.25,False,False,True,False,1,Budget Compact Properties
Apartamento,1475400.0,4.0,1.0,1.0,0.0,30.0,22.0,1.0,más de 30 años,49180.0,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,4500000.0,5.0,3.0,3.0,2.0,88.0,83.0,4.0,1 a 8 años,51136.36363636364,1.0,False,True,False,False,1,Budget Compact Properties
Casa,4300000.0,3.0,3.0,5.0,2.0,250.0,250.0,0.0,más de 30 años,17200.0,1.6666666666666667,False,False,True,False,0,Premium Spacious Properties
Apartamento,4300000.0,4.0,3.0,3.0,2.0,90.0,90.0,0.0,menor a 1 año,47777.77777777778,1.0,False,True,False,False,1,Budget Compact Properties
Casa,5500000.0,4.0,4.0,1.0,0.0,310.0,310.0,0.0,más de 30 años,17741.935483870966,0.25,False,False,True,False,0,Premium Spacious Properties
Apartamento,3250000.0,4.0,3.0,3.0,1.0,96.0,96.0,0.0,1 a 8 años,33854.166666666664,1.0,False,True,False,False,1,Budget Compact Properties
Apartamento,465000000.0,3.0,3.0,4.0,1.0,108.0,108.0,1.0,9 a 15 años,4305555.555555556,1.3333333333333333,False,True,False,False,1,Budget Compact Properties
Apartamento,2000000.0,4.0,1.0,1.0,1.0,48.0,48.0,4.0,1 a 8 años,41666.666666666664,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,1150000.0,4.0,1.0,1.0,0.0,20.0,19.0,1.0,16 a 30 años,57500.0,1.0,False,False,False,False,1,Budget Compact Properties
Casa,980000.0,4.0,1.0,1.0,0.0,30.0,30.0,2.0,más de 30 años,32666.666666666668,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,540000.0,4.0,4.0,3.0,0.0,10.0,10.0,1.0,16 a 30 años,54000.0,0.75,False,False,False,False,1,Budget Compact Properties
Apartamento,1350000.0,4.0,1.0,1.0,0.0,32.0,32.0,4.0,más de 30 años,42187.5,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,3000000.0,3.0,1.0,3.0,0.0,92.0,92.0,5.0,más de 30 años,32608.695652173912,3.0,False,True,False,False,1,Budget Compact Properties
Apartamento,3200000.0,4.0,2.0,2.0,1.0,62.0,62.0,6.0,menor a 1 año,51612.903225806454,1.0,False,True,False,False,1,Budget Compact Properties
Apartamento,1600000.0,3.0,1.0,1.0,1.0,42.0,42.0,4.0,1 a 8 años,38095.23809523809,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,1850000.0,4.0,1.0,1.0,0.0,30.0,30.0,1.0,más de 30 años,61666.666666666664,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,1900000.0,4.0,1.0,1.0,0.0,30.0,30.0,0.0,menor a 1 año,63333.333333333336,1.0,False,False,False,False,1,Budget Compact Properties
Casa,15000000.0,3.0,8.0,10.0,9.0,608.0,608.0,0.0,más de 30 años,24671.052631578947,1.25,False,False,False,True,0,Premium Spacious Properties
Apartamento,1000000.0,3.0,1.0,1.0,10.0,26.0,22.0,14.0,más de 30 años,38461.53846153846,1.0,False,False,False,False,1,Budget Compact Properties
Casa,4500000.0,4.0,3.0,3.0,0.0,280.0,280.0,3.0,más de 30 años,16071.42857142857,1.0,False,False,True,False,0,Premium Spacious Properties
Apartamento,3250000.0,4.0,2.0,3.0,1.0,80.0,22.0,3.0,16 a 30 años,40625.0,1.5,False,True,False,False,1,Budget Compact Properties
Apartamento,1450000.0,4.0,1.0,1.0,0.0,37.0,37.0,5.0,más de 30 años,39189.18918918919,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,2600000.0,4.0,1.0,1.0,1.0,34.0,22.0,5.0,1 a 8 años,76470.58823529411,1.0,True,False,False,False,1,Budget Compact Properties
