location,price,habs,baños,area,tipo_inmueble,link
"Nicolas de federman, Bogotá","$ 6,000,000",5.0,4.0,220.0,Casa en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</casa-en-arriendo/191949047>"
"Nicolas de federman, Bogotá","$ 844,000",3.0,2.0,50.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</apartamento-en-arriendo/191619418>"
"Nicolas de federman, Bogotá","$ 4,800,000",4.0,5.0,164.0,Apartamento en arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</apartamento-en-arriendo/10856480>"
"Nicolas de federman, Bogotá","$ 1,600,000",1.0,1.0,27.0,Apartamento en arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</apartamento-en-arriendo/11088420>"
"Nicolas de federman, Bogotá","$ 1,600,000",1.0,1.0,20.0,Apartaestudio en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</apartaestudio-en-arriendo/191829192>"
"Nicolas de federman, Bogotá","$ 6,000,000",5.0,5.0,380.0,Casa en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</casa-en-arriendo/191237365>"
"Nicolas de federman, Bogotá","$ 3,300,000",3.0,3.0,130.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</apartamento-en-arriendo/192039741>"
"Nicolas de federman, Bogotá","$ 2,160,000",3.0,2.0,105.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</apartamento-en-arriendo/192039761>"
"Nicolas de federman, Bogotá","$ 520,000",1.0,5.0,10.0,Habitación en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</habitacion-en-arriendo/191880135>"
"Nicolas de federman, Bogotá","$ 2,900,000",3.0,2.0,96.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</apartamento-en-arriendo/191870930>"
"Nicolas de federman, Bogotá","$ 490,000",3.0,5.0,10.0,Habitación en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</habitacion-en-arriendo/192034083>"
"Nicolas de federman, Bogotá","$ 9,000,000",3.0,3.0,376.0,Casa en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</casa-en-arriendo/191743553>"
"Nicolas de federman, Bogotá","$ 1,800,000",1.0,1.0,30.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</apartamento-en-arriendo/191972635>"
"Nicolas de federman, Bogotá","$ 3,000,000",3.0,2.0,86.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina3/</apartamento-en-arriendo/192058260>"
"Nicolas de federman, Bogotá","$ 5,000,000",4.0,3.0,113.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina3/</apartamento-en-arriendo/191831650>"
"Nicolas de federman, Bogotá","$ 3,000,000",2.0,2.0,86.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina3/</apartamento-en-arriendo/191998261>"
"Nicolas de federman, Bogotá","$ 3,000,000",3.0,2.0,105.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina3/</apartamento-en-arriendo/192035341>"
"Nicolas de federman, Bogotá","$ 3,500,000",3.0,3.0,100.0,Apartamento en arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina3/</apartamento-en-arriendo/10622833>"
"Nicolas de federman, Bogotá","$ 8,000,000",5.0,5.0,243.0,Casa en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina3/</casa-en-arriendo/191444017>"
"Nicolas de federman, Bogotá","$ 900,000",3.0,2.0,67.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina3/</apartamento-en-arriendo/191983527>"
"Nicolas de federman, Bogotá","$ 7,900,000",5.0,5.0,425.0,Casa en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina3/</casa-en-arriendo/191620904>"
"Nicolas de federman, Bogotá","$ 4,300,000",5.0,3.0,250.0,Casa en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina3/</casa-en-arriendo/191898254>"
"Nicolas de federman, Bogotá","$ 5,605,000",3.0,3.0,130.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina3/</apartamento-en-arriendo/191552141>"
"Nicolas de federman, Bogotá","$ 2,400,000",2.0,2.0,55.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina3/</apartamento-en-arriendo/191975009>"
